code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603260,N合盛,化工原料,浙江,14.62,0.7,6.7,1137959.63,350271.03,387516.25,108740.97,1.62,1.442,6.02,4.67,20171030,189423.34,2.83,0.0,0.0,36.77,19.63,0.0
002238,天威视讯,影视音像,深圳,29.53,5.57,6.17,378400.03,169150.02,89150.36,22008.73,0.36,0.304,4.34,2.75,20080526,161741.22,2.62,-5.04,-19.67,38.49,16.06,27816.0
002211,宏达新材,橡胶,江苏,150.77,4.32,4.32,113401.17,85158.13,17067.4,103788.3,2.4,0.046,1.84,5.01,20080201,-70444.78,-1.63,49.26,275.66,11.77,2.91,51861.0
603607,京华激光,造纸,浙江,32.78,0.23,0.91,48319.84,33422.23,9072.82,15172.75,1.67,0.469,4.91,6.26,20171025,11193.1,1.23,0.0,0.0,34.21,16.45,25174.0
603683,晶华新材,化工原料,上海,64.93,0.32,1.27,83351.17,40270.8,16154.09,13909.86,1.1,0.184,5.21,4.58,20171020,24816.97,1.96,0.0,0.0,24.16,6.92,32784.0
002908,德生科技,元器件,广东,51.02,0.33,1.33,52750.28,49433.9,2143.8,18700.18,1.4,0.284,3.9,4.96,20171020,8933.8,0.67,0.0,0.0,44.71,14.67,65991.0
300603,立昂技术,通信设备,新疆,51.84,0.26,1.03,124445.82,99134.21,2345.56,12127.82,1.18,0.59,3.96,10.03,20170126,16070.23,1.57,247.32,259.16,20.03,8.61,11020.0
300708,聚灿光电,半导体,江苏,21.94,0.64,2.57,113054.97,53496.63,47045.95,17322.55,0.67,0.361,2.85,3.7,20171016,17465.65,0.68,0.0,0.0,30.06,19.53,121621.0
603499,翔港科技,广告包装,上海,71.03,0.25,1.0,46501.03,18143.78,20363.8,11031.2,1.1,0.364,3.93,8.78,20171016,9835.62,0.98,0.0,0.0,26.37,15.1,27897.0
600702,沱牌舍得,白酒,四川,116.51,3.37,3.37,433225.91,337385.28,49040.21,83578.17,2.48,0.28300000000000003,7.21,6.1,19960524,101150.4,3.0,13.1,74.2,75.34,7.68,23593.0
603722,阿科力,化工原料,江苏,34.5,0.22,0.87,46842.09,14853.99,11813.88,5405.39,0.62,0.469,4.57,4.72,20171025,16452.42,1.9,0.0,0.0,31.51,19.23,24007.0
002903,宇环数控,机床制造,湖南,50.43,0.25,1.0,43018.78,31248.15,5542.14,4677.06,0.47,0.473,4.11,11.62,20171013,15693.75,1.57,0.0,0.0,56.43,39.06,51373.0
603922,金鸿顺,汽车配件,江苏,48.19,0.32,1.28,120578.51,72537.32,25763.11,23127.74,1.81,0.42200000000000004,5.84,6.96,20171023,21104.43,1.65,0.0,0.0,24.44,10.89,34005.0
600468,百利电气,电气设备,天津,80.81,7.98,8.11,265793.03,181451.38,34958.3,75081.15,0.93,0.044000000000000004,2.18,3.28,20010615,18674.65,0.23,27.6,33.94,26.75,6.05,22218.0
300715,凯伦股份,其他建材,江苏,41.27,0.18,0.72,40622.2,28341.36,5846.58,2000.0,0.28,0.396,3.21,6.79,20171026,9112.87,1.27,0.0,0.0,37.39,10.4,36007.0
002517,恺英网络,互联网,福建,40.24,5.02,14.35,455790.09,361511.34,1575.06,217558.59,1.52,0.28800000000000003,2.59,8.97,20101207,141065.81,0.98,0.72,68.77,64.48,31.85,15294.0
000531,穗恒运Ａ,火力发电,广东,32.7,6.85,6.85,886748.0,218801.77,308517.44,89725.56,1.31,0.217,5.65,1.67,19940106,195674.97,2.86,22.14,-65.6,20.18,6.68,31512.0
603986,兆易创新,半导体,北京,66.57,1.47,2.03,213397.97,169092.52,9192.86,70451.22,3.48,1.7,7.91,18.79,20160818,73909.36,3.65,44.69,134.74,38.57,22.38,15369.0
603466,风语筑,文教休闲,上海,30.91,0.36,1.44,193517.22,163840.27,21432.76,34495.55,2.4,1.025,6.68,6.33,20171020,25636.81,1.78,0.0,0.0,29.47,12.19,37538.0
300710,万隆光电,通信设备,浙江,53.09,0.18,0.69,45016.82,40681.98,2703.29,11356.53,1.66,0.39,6.3,6.57,20171019,14046.3,2.05,0.0,0.0,32.23,12.6,35018.0
002907,华森制药,化学制药,重庆,37.39,0.4,4.0,70735.78,40050.03,13501.01,36.72,0.0,0.23199999999999998,1.54,7.51,20171020,17636.82,0.44,0.0,0.0,67.17,21.04,78250.0
603829,洛凯股份,电气设备,江苏,87.24,0.4,1.6,58965.61,36922.48,12546.13,12584.96,0.79,0.141,2.71,9.08,20171017,6931.85,0.43,0.0,0.0,21.8,10.07,39079.0
000935,四川双马,水泥,四川,186.62,6.29,7.63,577143.63,129077.8,398065.09,99226.86,1.3,0.066,3.62,6.75,19990824,95997.5,1.26,24.01,214.68,17.71,4.03,79770.0
002323,雅百特,建筑施工,江苏,29.98,3.21,7.46,241022.27,215141.42,2227.38,9060.82,0.12,0.156,1.22,7.71,20091218,63717.13,0.85,34.1,57.34,33.86,18.67,44148.0
