code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600719,大连热电,供气供热,辽宁,86.75,4.05,4.05,136216.27,26156.51,76088.74,10217.32,0.25,0.040999999999999995,1.83,3.88,19960716,6731.03,0.17,24.13,-38.62,14.42,3.39,28400.0
600303,曙光股份,汽车整车,辽宁,9.12,6.2,6.76,843144.88,451556.56,245264.27,111036.77,1.64,0.584,4.71,2.26,20001226,113142.11,1.67,22.01,384.32,15.1,20.71,79477.0
600781,辅仁药业,中成药,河南,187.37,1.78,1.78,131313.88,42317.93,80696.02,12936.33,0.73,0.057,2.13,10.03,19961218,5265.08,0.3,19.19,-28.88,43.1,3.85,15030.0
600658,电子城,园区开发,北京,59.94,7.99,7.99,804492.69,706244.94,12524.69,281088.78,3.52,0.08900000000000001,7.41,1.44,19930524,209204.86,2.62,-26.56,-30.37,48.02,24.04,14047.0
300077,国民技术,半导体,深圳,90.99,5.42,5.63,330595.41,226679.88,1873.95,209696.55,3.72,0.079,5.41,2.64,20100430,37036.1,0.66,21.8,-2.7,29.4,12.38,56415.0
002238,天威视讯,影视音像,深圳,25.27,5.57,6.17,373951.69,166026.73,88177.31,22008.67,0.36,0.212,4.25,2.52,20080526,156097.95,2.53,-4.08,-17.66,37.51,16.61,29271.0
002083,孚日股份,纺织,山东,14.91,8.65,9.08,739851.5,328139.72,251549.55,126124.97,1.39,0.36,3.57,2.0,20061124,87302.77,0.96,6.35,35.14,24.29,9.37,58256.0
600467,好当家,渔业,山东,59.96,14.61,14.61,549963.31,172777.44,316300.5,39847.98,0.27,0.03,2.06,1.75,20040405,94338.31,0.65,15.88,15.16,33.61,7.5,82980.0
600667,太极实业,半导体,江苏,45.36,11.91,21.06,1685315.63,995223.63,455698.09,325909.5,1.55,0.079,2.82,2.55,19930728,50159.4,0.24,29.51,112.29,14.36,3.15,74144.0
600739,辽宁成大,商贸代理,辽宁,15.88,13.65,15.3,3389553.5,572140.38,326752.19,640718.94,4.19,0.5670000000000001,12.77,1.41,19960819,1035430.63,6.77,68.14,19.89,15.04,13.57,86079.0
300502,新易盛,通信设备,四川,60.26,1.24,2.33,127075.32,94024.3,27936.76,30134.97,1.29,0.26899999999999996,4.43,7.32,20160303,44979.15,1.93,27.01,29.27,25.45,14.55,17839.0
600098,广州发展,火力发电,广东,27.52,27.26,27.26,3626854.5,812999.75,1571024.0,394679.38,1.45,0.131,5.79,1.25,19970718,551498.25,2.02,-3.93,-28.03,10.39,3.49,99829.0
600503,华丽家族,区域地产,上海,91.58,16.02,16.02,658091.88,342154.16,11879.86,94900.09,0.59,0.039,2.17,3.33,20020709,71685.5,0.45,64.84,-24.58,16.67,8.9,229524.0
300291,华录百纳,影视音像,北京,91.18,5.04,8.12,729453.25,502055.19,822.21,452084.06,5.56,0.079,7.92,1.83,20120209,106732.3,1.31,-20.19,-29.43,21.25,7.37,21442.0
603258,电魂网络,互联网,浙江,50.83,0.6,2.4,176456.98,141294.67,1730.51,83082.92,3.46,0.359,6.4,5.7,20161026,34819.4,1.45,-10.22,-39.36,92.25,38.77,32157.0
002476,宝莫股份,化工原料,山东,0.0,5.78,6.12,137356.77,53286.06,37535.6,17737.01,0.29,-0.077,1.51,4.84,20100915,9423.96,0.15,-58.27,-407.54,9.48,-25.46,61086.0
